50 	 # Number of sensors 
# x z 
-1.90 -1.27 
0.00 -0.98 
1.88 -0.69 
3.75 -0.34 
5.82 0.00 
7.72 -0.02 
9.72 -0.10 
11.71 -0.17 
13.78 -0.54 
15.78 -0.47 
17.78 -0.35 
19.77 -0.19 
21.66 -0.34 
23.76 -0.33 
25.74 -0.63 
27.74 -0.71 
29.73 -0.55 
31.56 -1.07 
33.84 -0.75 
35.83 -0.91 
37.93 -0.94 
39.93 -1.01 
41.92 -0.84 
43.82 -0.93 
45.82 -1.05 
47.92 -1.03 
49.97 -1.49 
51.87 -1.49 
53.96 -1.39 
56.36 -1.49 
57.93 -1.19 
59.86 -1.73 
61.96 -1.63 
64.05 -1.84 
66.03 -2.08 
68.13 -2.25 
69.71 -2.45 
71.91 -2.50 
74.20 -2.70 
76.10 -2.67 
78.20 -2.71 
80.29 -2.50 
82.47 -2.79 
84.07 -2.86 
85.77 -2.92 
88.15 -2.57 
90.05 -2.54 
91.92 -2.84 
94.18 -2.39 
96.04 -2.74 
360 	 # Number of measurements 
# a b m n u i err
16 40 24 32 15.80 1.00 0.03
17 41 25 33 16.28 1.00 0.03
18 42 26 34 17.87 1.00 0.03
19 43 27 35 17.49 1.00 0.03
20 44 28 36 8.35 1.00 0.03
21 45 29 37 18.93 1.00 0.03
22 46 30 38 19.37 1.00 0.03
23 47 31 39 18.98 1.00 0.03
24 48 32 40 20.28 1.00 0.03
25 49 33 41 20.22 1.00 0.03
26 50 34 42 19.07 1.00 0.03
2 29 11 20 13.27 1.00 0.03
3 30 12 21 13.53 1.00 0.03
4 31 13 22 13.35 1.00 0.03
5 32 14 23 11.78 1.00 0.03
6 33 15 24 13.34 1.00 0.03
7 34 16 25 12.73 1.00 0.03
8 35 17 26 12.87 1.00 0.03
9 36 18 27 13.09 1.00 0.03
10 37 19 28 12.07 1.00 0.03
11 38 20 29 14.60 1.00 0.03
12 39 21 30 13.90 1.00 0.03
13 40 22 31 14.20 1.00 0.03
14 41 23 32 15.27 1.00 0.03
15 42 24 33 14.49 1.00 0.03
16 43 25 34 15.52 1.00 0.03
17 44 26 35 16.15 1.00 0.03
18 45 27 36 16.42 1.00 0.03
19 46 28 37 4.06 1.00 0.03
20 47 29 38 17.70 1.00 0.03
21 48 30 39 17.21 1.00 0.03
22 49 31 40 17.59 1.00 0.03
23 50 32 41 17.11 1.00 0.03
2 32 12 22 12.77 1.00 0.03
3 33 13 23 10.81 1.00 0.03
4 34 14 24 11.95 1.00 0.03
5 35 15 25 12.05 1.00 0.03
6 36 16 26 11.89 1.00 0.03
7 37 17 27 12.20 1.00 0.03
8 38 18 28 5.67 1.00 0.03
9 39 19 29 11.96 1.00 0.03
10 40 20 30 12.91 1.00 0.03
11 41 21 31 12.30 1.00 0.03
12 42 22 32 12.88 1.00 0.03
13 43 23 33 13.52 1.00 0.03
14 44 24 34 14.10 1.00 0.03
15 45 25 35 14.43 1.00 0.03
16 46 26 36 15.00 1.00 0.03
17 47 27 37 14.98 1.00 0.03
18 48 28 38 7.14 1.00 0.03
19 49 29 39 15.95 1.00 0.03
20 50 30 40 14.99 1.00 0.03
2 35 13 24 11.60 1.00 0.03
3 36 14 25 11.74 1.00 0.03
4 37 15 26 11.39 1.00 0.03
5 38 16 27 11.24 1.00 0.03
6 39 17 28 6.76 1.00 0.03
7 40 18 29 11.59 1.00 0.03
8 41 19 30 11.78 1.00 0.03
9 42 20 31 11.70 1.00 0.03
10 43 21 32 10.98 1.00 0.03
11 44 22 33 11.41 1.00 0.03
12 45 23 34 13.82 1.00 0.03
13 46 24 35 12.83 1.00 0.03
14 47 25 36 13.54 1.00 0.03
15 48 26 37 12.86 1.00 0.03
16 49 27 38 13.65 1.00 0.03
17 50 28 39 11.78 1.00 0.03
2 38 14 26 11.02 1.00 0.03
3 39 15 27 11.04 1.00 0.03
4 40 16 28 8.14 1.00 0.03
5 41 17 29 10.42 1.00 0.03
6 42 18 30 11.18 1.00 0.03
7 43 19 31 10.66 1.00 0.03
8 44 20 32 10.54 1.00 0.03
9 45 21 33 10.42 1.00 0.03
10 46 22 34 11.55 1.00 0.03
11 47 23 35 12.80 1.00 0.03
12 48 24 36 10.51 1.00 0.03
13 49 25 37 11.65 1.00 0.03
14 50 26 38 11.72 1.00 0.03
2 41 15 28 15.81 1.00 0.03
3 42 16 29 10.04 1.00 0.03
4 43 17 30 10.01 1.00 0.03
5 44 18 31 10.01 1.00 0.03
6 45 19 32 9.92 1.00 0.03
7 46 20 33 10.17 1.00 0.03
8 47 21 34 10.72 1.00 0.03
9 48 22 35 10.57 1.00 0.03
10 49 23 36 11.70 1.00 0.03
11 50 24 37 10.65 1.00 0.03
2 44 16 30 9.88 1.00 0.03
3 45 17 31 10.01 1.00 0.03
4 46 18 32 8.96 1.00 0.03
5 47 19 33 9.44 1.00 0.03
6 48 20 34 10.10 1.00 0.03
7 49 21 35 9.93 1.00 0.03
8 50 22 36 10.02 1.00 0.03
2 47 17 32 8.98 1.00 0.03
3 48 18 33 8.88 1.00 0.03
4 49 19 34 9.32 1.00 0.03
5 50 20 35 9.23 1.00 0.03
2 50 18 34 9.08 1.00 0.03
