U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
39.77258	5.41756	0.001	1.6	4	4	
38.03574	4.43471	0.001	1.3	5	2	
44.27608	4.61837	0.001	1.2	0	2	
40.77417	4.86577	0.001	2.6	22	2	
44.26238	6.45412	0.001	1.3	9	1	
39.24462	4.60255	0.001	0.8	14	2	
43.59771	6.432	0.001	2.7	20	2	
47.3878	5.21687	0.001	1.5	5	2	
50.96886	5.61728	0.001	1.3	7	3	
46.665	8.16629	0.001	1.5	8	5	
24.14211	4.80825	0.001	0.4	0	2	
25.93112	5.19408	0.001	1.8	9	2	
25.72533	4.06002	0.001	5.8	41	2	
25.94447	4.26791	0.001	3	14	2	
26.88637	4.71118	0.001	0.6	6	2	
26.92785	4.28641	0.001	0.1	9	2	
26.55224	6.81081	0.001	0.6	9	2	
28.72642	4.77357	0.001	1.7	8	2	
15.3052	1.89932	0.001	7.6	70	2	
17.24545	2.71923	0.001	1.7	30	2	
16.24969	2.99315	0.001	4.1	25	2	
18.0215	2.65802	0.001	3.3	27	2	
17.8401	2.75174	0.001	3.8	30	2	
10.53254	1.95416	0.001	6.1	37	2	
11.25766	1.68256	0.001	1.8	20	2	
15.10.2019	0:00:00					
1.69						
13.35						
111.67078	6.22711	0.001	0.1	5	1	
132.60224	5.81657	0.001	0.4	7	1	
103.51925	3.48049	0.001	0.5	8	1	
114.57084	2.24551	0.001	0.8	9	1	
115.73159	3.51413	0.001	0.6	1	1	
151.95832	3.70652	0.001	0.7	7	1	
103.99351	2.67755	0.001	0.6	14	1	
148.15678	6.69993	0.001	0	1	3	
124.25299	5.19137	0.001	0	2	1	
126.90364	5.93779	0.001	0	0	2	
125.69992	5.997	0.001	0	3	3	
149.13841	7.32036	0.001	0	2	2	
151.98913	7.27618	0.001	0.1	3	2	
157.53158	7.15578	0.001	0.2	5	2	
155.84294	6.40861	0.001	0.3	6	2	
154.635	5.39832	0.001	0.4	5	3	
160.99353	5.77293	0.001	0.5	1	2	
82.14217	5.91189	0.001	1.3	2	1	
68.92018	4.84739	0.001	1.3	6	1	
80.59839	4.8615	0.001	1.3	12	1	
89.97422	8.25003	0.001	0.3	1	1	
77.26406	7.67398	0.001	0	0	3	
71.25211	7.41162	0.001	0.2	1	1	
82.76804	6.79667	0.001	0.5	4	2	
76.95619	5.5733	0.001	0.6	4	2	
67.40601	4.92497	0.001	1	4	1	
76.76493	5.88498	0.001	0.7	0	2	
86.98436	6.66755	0.001	0.5	1	3	
87.66952	6.64769	0.001	0.8	3	2	
85.1578	6.55602	0.001	0.8	5	3	
85.67082	8.13548	0.001	0.2	1	3	
40.8265	6.299	0.001	0.6	3	1	
45.35723	7.16244	0.001	0	0	3	
45.21236	7.20624	0.001	0.1	3	1	
52.36697	7.908	0.001	0	2	1	
46.56193	6.91103	0.001	0.1	3	2	
47.75856	7.19668	0.001	0	2	1	
42.55683	6.2729	0.001	0.1	0	2	
44.39049	7.03125	0.001	0.2	0	1	
45.2998	6.54582	0.001	0.4	2	2	
48.68323	6.39401	0.001	0.7	3	2	
46.22496	5.93827	0.001	0.8	2	4	
24.7961	5.34199	0.001	1.8	9	2	
27.29242	4.50659	0.001	1.5	4	2	
28.73934	3.89145	0.001	1.7	2	2	
28.24031	3.91758	0.001	1.4	0	2	
28.23195	3.60397	0.001	1.9	3	1	
27.28555	3.56531	0.001	1.6	4	2	
26.90387	4.34194	0.001	1.2	4	2	
28.28825	4.92468	0.001	0.3	1	2	
17.43859	3.39702	0.001	0.6	3	1	
17.26953	3.59699	0.001	0.3	3	1	
16.33048	3.2119	0.001	0.1	3	2	
18.37784	3.58496	0.001	0	2	2	
16.58248	3.19905	0.001	0	1	2	
10.05486	2.18452	0.001	0	2	2	
10.45585	1.71627	0.001	0	1	2	
15.10.2019	6:00:00					
0.96						
12.94						
112.16146	6.71404	0.001	0	4	1	
132.61784	7.19573	0.001	0.1	2	1	
104.63704	4.87448	0.001	0.2	4	1	
113.39775	3.83852	0.001	0.5	9	1	
112.37773	3.48788	0.001	0.6	7	1	
145.9257	3.75223	0.001	0.7	1	1	
101.26219	2.91592	0.001	0.5	4	1	
142.25947	6.38701	0.001	0	3	3	
122.0556	5.22175	0.001	0.1	2	1	
125.92143	5.74909	0.001	0	1	2	
122.1986	5.15471	0.001	0.2	5	3	
146.41514	5.86651	0.001	0.3	6	2	
147.20043	5.04401	0.001	0.4	5	2	
153.06756	4.55298	0.001	0.6	2	2	
152.6656	4.99371	0.001	0.5	2	2	
151.75952	4.79701	0.001	0.5	6	2	
158.87536	5.07715	0.001	0.6	14	2	
81.25015	8.59279	0.001	0.4	3	1	
66.78098	7.20502	0.001	0.1	2	1	
75.63996	7.79057	0.001	0	2	1	
86.08224	8.72912	0.001	0	2	1	
74.8431	7.52737	0.001	0	0	2	
69.65795	7.5958	0.001	0	1	1	
80.62638	7.6307	0.001	0.1	0	2	
75.86013	6.78012	0.001	0.1	1	2	
66.76402	6.74084	0.001	0.2	2	1	
75.05629	6.70445	0.001	0.4	3	2	
85.12229	6.68765	0.001	0.5	3	4	
85.02043	6.26037	0.001	0.8	2	2	
82.0538	6.62853	0.001	0.6	0	3	
83.83489	6.63314	0.001	0.6	0	3	
39.83268	6.02676	0.001	1.4	16	1	
42.1268	6.45544	0.001	0.6	3	3	
41.05484	5.75872	0.001	1.2	4	2	
48.39799	5.18993	0.001	1.6	3	2	
44.04816	5.0091	0.001	1	0	2	
46.17271	4.71466	0.001	1.4	3	1	
42.52984	4.49566	0.001	1.3	3	2	
46.57859	4.38877	0.001	1.9	11	1	
45.88012	6.59407	0.001	0.3	1	2	
49.36968	7.18917	0.001	0	1	2	
46.29048	6.98995	0.001	0.1	0	4	
24.73215	5.44707	0.001	0.2	4	1	
26.67239	5.76882	0.001	0.2	3	2	
27.52203	5.56916	0.001	0	2	1	
27.21926	5.34729	0.001	0	1	1	
26.93584	5.2689	0.001	0.2	1	1	
25.76753	4.74411	0.001	0.2	1	2	
25.25524	4.87307	0.001	0.5	2	2	
26.94637	4.38321	0.001	1	3	2	
15.74136	3.3146	0.001	1.9	9	2	
16.44309	2.85019	0.001	1.9	12	1	
15.59219	3.12631	0.001	0.1	2	2	
17.74047	3.53475	0.001	0	2	2	
16.31794	3.22996	0.001	0	1	2	
94.46327	20.52743	0.01	0	0	2	
99.7479	16.35991	0.01	0.1	0	24	
15.10.2019	12:00:00					
1.35						
13.69						
114.73945	7.11152	0.001	0.2	5	10	
132.73455	6.4013	0.001	0.7	9	1	
108.6123	5.24784	0.001	0.3	7	1	
116.29296	5.9599	0.001	0	4	1	
114.41826	6.07048	0.001	0	2	1	
144.78443	6.35232	0.001	0.4	4	1	
100.74559	3.90183	0.001	0	12	1	
140.96499	4.69751	0.001	0.5	4	3	
120.77729	3.3332	0.001	0.3	17	1	
127.29695	5.862	0.001	0.7	29	2	
122.69195	3.92554	0.001	0.5	8	4	
148.67556	4.04444	0.001	0.6	12	2	
145.60594	7.07844	0.001	0	2	2	
150.08901	7.3892	0.001	0	1	2	
148.75926	7.27722	0.001	0	2	2	
147.03024	6.98626	0.001	0	2	2	
152.49505	7.91564	0.001	0	2	2	
78.82501	11.80324	0.001	1.8	10	1	
65.44971	4.9904	0.001	1.4	6	1	
74.9476	5.36819	0.001	0.9	3	1	
85.69077	5.1837	0.001	1.5	19	1	
72.90023	7.39177	0.001	0	1	3	
68.23952	7.13108	0.001	0	3	1	
77.81105	6.44525	0.001	1.5	20	2	
74.11954	6.35403	0.001	0.7	9	2	
65.56703	7.21672	0.001	0.1	6	1	
74.1491	7.57873	0.001	0	1	2	
85.19591	8.59141	0.001	0.8	12	3	
82.85381	6.66088	0.001	0.2	13	2	
80.03485	6.15728	0.001	0.7	2	3	
82.33108	6.0795	0.001	0.7	2	3	
37.39947	4.75902	0.001	1.9	3	1	
41.46467	5.22393	0.001	0.2	4	3	
41.69322	4.67084	0.001	1.8	7	2	
48.38482	6.09582	0.001	1	4	2	
42.17325	5.89613	0.001	2.1	19	2	
44.95686	5.67311	0.001	1.3	23	1	
40.52734	4.74293	0.001	1.9	22	2	
43.06188	6.69651	0.001	2.3	17	1	
45.43747	5.15499	0.001	1	1	2	
49.02759	5.33842	0.001	0.7	0	2	
46.60333	6.14886	0.001	1.1	5	4	
23.77966	4.73748	0.001	0.9	3	2	
25.69239	5.02444	0.001	0.5	2	2	
26.93651	6.235	0.001	0	2	2	
25.27766	4.51981	0.001	2.1	11	1	
25.40481	4.67682	0.001	0.4	1	1	
24.84615	3.55842	0.001	1.9	2	2	
24.20041	3.88183	0.001	4.2	28	2	
28.43379	4.56223	0.001	0.8	9	2	
15.06262	2.57082	0.001	7.4	46	1	
15.00399	3.50307	0.001	3.9	17	1	
14.7243	1.95873	0.001	1.9	19	2	
16.75269	2.70081	0.001	1.9	0	2	
15.86023	3.1804	0.001	4.3	20	2	
91.22967	19.35501	0.01	0	1	2	
96.66972	16.025	0.01	0.1	1	24	
15.10.2019	18:00:00					
5.76						
13.69						
750.44702	30.28139	0.01	0	1	6	
85.65887	2.87937	0.001	0.1	16	8	
70.62992	2.58867	0.001	0	4	1	
73.18062	2.65336	0.001	0.3	11	0	
72.34506	2.87474	0.001	0.2	3	1	
109.96981	4.25723	0.001	0.1	0	1	
72.81166	2.50499	0.001	0.3	2	1	
115.17063	3.24324	0.001	0.2	11	2	
93.86956	0.78201	0.001	0.1	130	1	
106.37006	2.1485	0.001	0.4	16	1	
109.89348	2.77887	0.001	0.6	0	2	
136.09448	3.66705	0.001	0.5	7	1	
138.93829	3.69163	0.001	0.7	23	2	
142.06335	6.662	0.001	0.2	9	2	
142.06715	6.95494	0.001	0	1	2	
141.34973	6.99254	0.001	0	3	2	
147.34497	7.58951	0.001	0	2	2	
60.85058	4.87921	0.001	0.7	0	0	
52.80339	4.55155	0.001	0	0	1	
56.74772	4.18211	0.001	0.2	4	1	
66.56978	4.66573	0.001	0.8	0	1	
64.74307	3.57692	0.001	1.3	13	2	
63.85145	2.68648	0.001	1.4	19	1	
69.48098	6.06385	0.001	0	7	1	
66.22859	5.59171	0.001	0.5	7	1	
62.28704	4.47167	0.001	1.7	22	1	
74.25305	6.75909	0.001	0	6	1	
81.45137	7.40351	0.001	0.1	2	2	
80.86783	8.37843	0.001	0.3	5	2	
77.81951	7.12486	0.001	0.1	7	2	
80.62757	6.77869	0.001	0.5	2	2	
30.64936	2.82628	0.001	1.5	8	1	
37.60149	3.09044	0.001	1.5	3	2	
38.73801	3.25053	0.001	1.2	3	1	
47.32989	4.03833	0.001	1.4	1	1	
41.85541	3.56258	0.001	1.1	8	1	
45.27009	3.83802	0.001	0.3	5	1	
38.60735	3.85734	0.001	0.3	2	1	
43.19369	5.23221	0.001	1.2	16	1	
45.71522	6.3078	0.001	0.1	2	1	
49.02863	7.22216	0.001	0.2	0	2	
45.00373	7.04434	0.001	0.7	3	2	
22.32812	4.04212	0.001	1.3	8	1	
25.78604	2.73106	0.001	0.4	14	1	
28.41519	4.25669	0.001	1.4	21	1	
27.13083	4.65223	0.001	1.2	11	1	
27.19273	4.15131	0.001	1.9	16	1	
27.50035	3.50122	0.001	1.5	14	1	
25.83828	4.68908	0.001	2.7	14	1	
28.5644	4.74269	0.001	1.7	7	2	
15.5285	2.79675	0.001	3.5	19	1	
17.77767	3.03085	0.001	1.7	15	1	
17.05455	3.13779	0.001	0.6	3	1	
19.19506	3.69488	0.001	0.2	4	1	
16.89929	2.88958	0.001	0.9	4	2	
10.81939	2.14521	0.001	1.6	5	2	
11.30941	1.59705	0.001	0.3	5	2	
16.10.2019	0:00:00					
1.73						
13.38						
75.98242	2.42036	0.001	0.2	3	0	
83.5723	3.07911	0.001	0.1	1	1	
67.84867	2.39631	0.001	0	1	0	
69.00275	2.35456	0.001	0.1	3	0	
68.29982	2.51697	0.001	0	1	0	
102.02935	3.67042	0.001	0	0	0	
65.32293	1.55117	0.001	0.3	15	1	
107.26198	2.11701	0.001	0.5	8	2	
89.14335	0.79771	0.001	0.9	9	1	
102.33244	1.82308	0.001	0.6	11	1	
104.47785	2.66884	0.001	0.5	11	2	
130.34037	5.39662	0.001	0.1	0	1	
128.99502	5.97271	0.001	0	2	2	
135.871	6.22901	0.001	0	2	1	
136.0698	6.31083	0.001	0	2	2	
135.12055	6.00479	0.001	0	2	2	
141.20767	6.68163	0.001	0.1	3	2	
60.78876	4.99717	0.001	0.2	1	0	
50.09451	3.69727	0.001	0.4	3	1	
54.86065	3.22435	0.001	0.6	8	1	
65.24779	2.75025	0.001	1.1	10	1	
61.5017	3.11015	0.001	0.8	1	2	
59.91864	3.04283	0.001	1.1	2	1	
68.64929	3.71121	0.001	0.8	4	1	
65.87874	2.90508	0.001	1	12	1	
61.93595	4.82975	0.001	0.4	3	1	
72.52063	6.44518	0.001	0.1	0	1	
79.6405	7.15139	0.001	0	0	2	
79.43523	7.42573	0.001	0.1	0	1	
77.09422	7.44981	0.001	0	0	2	
79.66667	7.50143	0.001	0.1	0	2	
32.51452	4.52022	0.001	0.2	6	1	
37.5818	4.96843	0.001	0	1	1	
38.45893	5.291	0.001	0	0	1	
46.42807	5.75665	0.001	0.1	1	1	
40.60196	4.81485	0.001	0.4	2	1	
41.91217	4.07253	0.001	1	7	1	
37.87988	3.06699	0.001	1.5	6	1	
43.1856	4.11386	0.001	1.3	1	1	
44.3497	4.47204	0.001	1.1	2	1	
48.35323	4.87868	0.001	1.1	4	2	
45.11809	4.63344	0.001	1.2	6	3	
22.71524	3.53172	0.001	0.9	3	1	
25.91017	4.2105	0.001	0.4	3	1	
27.95601	4.44751	0.001	0.7	4	1	
28.11989	4.32714	0.001	0	6	1	
28.71329	4.6182	0.001	0	4	1	
26.94894	4.55246	0.001	0	3	1	
26.3378	4.8925	0.001	0	2	1	
27.53135	4.94169	0.001	0	1	2	
15.59893	2.89271	0.001	1.8	14	1	
17.00916	2.84753	0.001	1.8	14	1	
16.58987	3.28864	0.001	0	1	1	
19.04563	3.45095	0.001	0.3	1	1	
16.95541	2.86728	0.001	0.8	3	2	
101.5433	21.95086	0.01	0	0	1	
108.79882	20.18917	0.01	0	0	18	
16.10.2019	6:00:00					
1.94						
12.94						
80.65572	3.5079	0.001	0.2	4	6	
90.80902	3.26961	0.001	0.3	8	1	
71.13069	1.70298	0.001	0.4	15	1	
73.80102	0.77705	0.001	0.6	30	0	
73.90581	0.96866	0.001	0.9	0	1	
106.68127	1.79378	0.001	0.8	13	0	
70.5249	1.15353	0.001	0.7	17	1	
110.40791	1.97999	0.001	0.6	22	2	
91.95479	2.97556	0.001	0	5	1	
101.72062	3.8361	0.001	0	0	1	
101.45317	4.41034	0.001	0	3	2	
127.63647	5.65916	0.001	0	1	1	
125.84576	5.5637	0.001	0	2	2	
131.82186	5.77594	0.001	0	2	1	
131.8177	5.64808	0.001	0.1	4	1	
130.53712	4.97401	0.001	0.2	6	2	
136.68812	4.95024	0.001	0.4	7	2	
62.37956	2.49503	0.001	1.5	15	1	
50.41555	2.41307	0.001	1.2	1	1	
56.43864	2.76956	0.001	0.9	2	1	
68.65898	2.72171	0.001	1.3	9	1	
63.28322	3.1947	0.001	0.9	11	2	
59.31963	4.36834	0.001	0.4	3	1	
66.76487	5.44199	0.001	0	0	1	
63.45255	4.88083	0.001	0	0	1	
59.54248	5.26999	0.001	0	2	1	
69.84536	6.34749	0.001	0	1	1	
77.24447	6.9647	0.001	0	0	2	
76.39926	7.24543	0.001	0	0	2	
73.76023	7.03434	0.001	0.1	0	2	
75.80754	6.71685	0.001	0.2	2	2	
30.60129	3.90944	0.001	0.8	5	1	
35.78423	3.97654	0.001	0.8	4	2	
36.51132	3.14775	0.001	1.7	6	1	
45.21692	3.84225	0.001	1.4	1	1	
40.41626	4.79245	0.001	0.2	3	1	
41.82447	5.15856	0.001	0.1	4	1	
37.6324	4.87444	0.001	0	3	1	
42.33583	5.92895	0.001	0.1	3	1	
42.85883	6.11308	0.001	0	1	1	
45.64394	6.41437	0.001	0.1	0	2	
41.87538	5.82858	0.001	0.2	1	3	
20.77741	3.73068	0.001	0.8	3	1	
23.33294	3.65018	0.001	1.2	4	1	
25.75974	4.33337	0.001	1.9	12	1	
26.645	4.43069	0.001	0	4	1	
26.94622	4.69405	0.001	0.2	4	1	
25.40027	4.48079	0.001	0	2	1	
24.88376	4.60948	0.001	0.1	0	1	
26.24074	4.4868	0.001	0.3	1	2	
14.10156	2.54808	0.001	1.3	5	1	
15.20865	3.10088	0.001	1.8	8	1	
15.1024	2.83137	0.001	0.6	2	1	
17.71994	2.73071	0.001	1.2	5	1	
16.31327	2.27565	0.001	1.5	5	2	
95.95241	21.25418	0.01	0	0	1	
102.42024	19.61467	0.01	0	0	18	
16.10.2019	12:00:00					
2.69						
13.74						
718.80932	28.88502	0.01	0	0	5	
85.26328	3.42914	0.001	0.3	11	7	
66.38145	2.38241	0.001	0.1	1	0	
71.31787	2.23396	0.001	0.2	22	0	
70.93687	1.05585	0.001	0.1	26	1	
100.1988	1.44468	0.001	0.4	27	1	
65.85123	0.82669	0.001	0.7	11	1	
100.55507	2.23349	0.001	0.3	3	2	
85.7677	0.23041	0.001	0.1	26	1	
92.42691	1.58041	0.001	1.1	22	1	
94.43468	3.48771	0.001	0.5	24	2	
120.74304	5.03667	0.001	0	1	1	
120.04796	5.1104	0.001	0	4	2	
127.0818	5.43655	0.001	0.1	5	1	
127.17379	5.69335	0.001	0	11	2	
124.8601	4.7447	0.001	0.2	2	2	
131.19665	4.71515	0.001	0.4	7	2	
54.26254	0.96471	0.001	0.1	120	1	
43.95348	1.98583	0.001	1.3	4	1	
49.43751	2.19614	0.001	1	4	1	
59.05488	4.00899	0.001	1	19	1	
53.10729	4.25297	0.001	0.1	2	1	
51.29185	4.28633	0.001	0.1	3	1	
58.00399	3.29397	0.001	1.5	23	1	
54.27972	3.87465	0.001	1.4	26	1	
52.31253	4.08207	0.001	1.8	23	1	
61.71955	4.81301	0.001	0.5	6	1	
70.17037	5.95141	0.001	0.9	12	1	
70.15369	6.14116	0.001	0.2	2	1	
67.80107	5.63095	0.001	0.3	1	2	
68.89131	4.78354	0.001	0.8	2	2	
26.50774	3.22463	0.001	1.8	15	1	
30.83996	2.14158	0.001	0.8	1	1	
31.98648	2.8145	0.001	1.6	11	1	
38.48189	4.01856	0.001	0.1	2	1	
