U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
06.02.2019	18:00:00 ! data and time
7.52 ! temperature c
13.69 ! External battery voltage V
426.7301	2.20136	0.1	0	0	7	
420.40231	2.31905	0.1	0	0	7	
418.85327	2.3078	0.1	0	0	8	
256.65856	1.92911	0.1	0	0	6	
255.41384	1.83686	0.1	0	0	6	
246.8366	1.64123	0.1	0	0	6	
263.34304	1.67123	0.1	0	0	6	
283.30538	1.71831	0.1	0	0	7	
294.03356	1.8353	0.1	0	0	6	
267.01593	1.67716	0.1	0	1	7	
265.46942	1.68418	0.1	0	1	7	
275.18179	1.68249	0.1	0	0	7	
294.24572	1.78784	0.1	0	0	7	
298.45526	1.84467	0.1	0	0	8	
168.07093	1.48022	0.1	0	0	6	
182.83659	1.48317	0.1	0	0	6	
185.31439	1.40608	0.1	0	0	6	
184.60446	1.35013	0.1	0	0	7	
197.71189	1.41184	0.1	0	0	7	
187.64846	1.32078	0.1	0	0	7	
191.64135	1.36738	0.1	0	0	7	
191.99948	1.36159	0.1	0	0	8	
124.96424	1.19716	0.1	0	0	7	
127.44886	1.1231	0.1	0	0	7	
130.9736	1.10707	0.1	0	0	7	
134.01948	1.09426	0.1	0	0	7	
129.34248	1.03436	0.1	0	0	8	
88.99217	0.90588	0.1	0	0	7	
91.30686	0.88089	0.1	0	0	7	
08.02.2019	12:00:00					
5.05						
13.75						
528.7799	2.52532	0.1	0	1	5	
545.75622	2.59675	0.1	0	0	6	
601.86053	2.88985	0.1	0	0	6	
581.70288	2.85704	0.1	0	0	6	
588.65496	2.77485	0.1	0	0	6	
597.43103	2.8592	0.1	0	0	6	
526.36798	2.24638	0.1	0	0	5	
683.68225	3.27544	0.1	0	0	6	
570.86065	2.32112	0.1	0	1	6	
550.51965	2.46529	0.1	0	0	6	
588.43377	2.63672	0.1	0	0	6	
553.91381	2.53204	0.1	0	0	6	
584.55017	2.7129	0.1	0	0	6	
589.83587	2.89853	0.1	0	0	7	
571	2.80167	0.1	0	0	6	
609.66125	2.92211	0.1	0	0	7	
651.1961	3.27463	0.1	0	0	8	
365.01705	2.19607	0.1	0	1	6	
411.17742	2.42589	0.1	0	1	6	
421.74755	2.4289	0.1	0	0	6	
360.63217	1.98898	0.1	0	0	6	
354.58157	1.86397	0.1	0	0	7	
413.31201	2.12222	0.1	0	0	6	
446.07192	2.20339	0.1	0	0	6	
378.1423	1.90307	0.1	0	0	6	
370.51358	1.99515	0.1	0	0	6	
395.71539	2.09783	0.1	0	0	6	
